"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.176218183E0,9.969258904E-1,6.662354469E-1,-4.305901527E-1
1.181248495E0,9.677518010E-1,7.168631554E-1,-4.110460281E-1
1.186278808E0,9.985738993E-1,7.588715553E-1,-4.374804497E-1
1.191309120E0,9.897560477E-1,8.372035027E-1,-4.546675682E-1
1.196371256E0,1.010890484E0,9.540739059E-1,-3.219451904E-1
1.201401568E0,1.064055204E0,1.037037373E0,-2.996730804E-2
1.206431829E0,1.050273895E0,1.160008430E0,1.083421707E-1
1.211462193E0,9.793034792E-1,1.274919033E0,1.486291885E-1
1.216492506E0,1.044519544E0,1.336101055E0,2.871294022E-1
1.221522766E0,1.111433148E0,1.343334198E0,3.042736053E-1
1.226543443E0,1.099667430E0,1.358518124E0,2.937040329E-1
1.231573756E0,1.136195183E0,1.405513287E0,2.411613464E-1
1.236604068E0,1.109283805E0,1.486313343E0,2.208261490E-1
1.241634381E0,1.288218379E0,1.479262352E0,3.446474075E-1
1.246664693E0,1.334449768E0,1.406571388E0,2.684564590E-1
1.251695006E0,1.315689683E0,1.378551960E0,2.457313538E-1
1.256731204E0,1.273256302E0,1.516622066E0,1.569356918E-1
1.261761516E0,1.203040600E0,1.708093643E0,1.524848938E-1
1.266791777E0,1.374527693E0,1.695269585E0,2.796707153E-1
1.271822141E0,1.385033488E0,1.691176414E0,1.301965714E-1
1.276852454E0,1.372422695E0,1.648269176E0,-6.424903870E-3
1.281882714E0,1.390431881E0,1.607241154E0,-1.041641235E-1
1.286924433E0,1.399310470E0,1.618012428E0,-2.371892929E-1
1.291954745E0,1.420760393E0,1.596826077E0,-2.932424545E-1
1.296985058E0,1.387998939E0,1.541225433E0,-3.536663055E-1
1.302015370E0,1.203854442E0,1.537200451E0,-4.996147156E-1
1.307045683E0,1.388744354E0,1.438982487E0,-3.775730133E-1
1.312075995E0,1.440896153E0,1.242222786E0,-4.393482208E-1
1.317095370E0,1.365325212E0,1.126443386E0,-5.625896454E-1
1.322125683E0,1.406412601E0,1.072099209E0,-5.824146271E-1
1.327155995E0,1.344217062E0,1.069096565E0,-6.637010574E-1
1.332186308E0,1.245841384E0,1.090801716E0,-7.297310829E-1
1.337216620E0,1.144849777E0,1.048902988E0,-7.829847336E-1
1.342246881E0,1.086247206E0,1.024778843E0,-7.542567253E-1
1.347292245E0,9.923557043E-1,1.030495644E0,-6.557369232E-1
1.352322558E0,9.146240950E-1,1.085343838E0,-6.165618896E-1
1.357352870E0,8.076606989E-1,1.105603218E0,-6.842260361E-1
1.362383183E0,7.339941263E-1,1.189297199E0,-7.414689064E-1
1.367413495E0,6.559079885E-1,1.181146145E0,-8.385643959E-1
1.372443808E0,6.457260847E-1,1.129143715E0,-8.894934654E-1
1.377463287E0,6.511560678E-1,1.043179989E0,-9.852700233E-1
1.382493548E0,6.056494713E-1,9.593191147E-1,-1.113909721E0
1.387523912E0,4.999178648E-1,8.540558815E-1,-1.184810162E0
1.392554225E0,4.556664228E-1,8.446426392E-1,-1.150547981E0
1.397584537E0,3.599107265E-1,8.188028336E-1,-1.171482086E0
1.402614798E0,2.431206703E-1,8.102912903E-1,-1.147237778E0
1.407631933E0,1.327291727E-1,7.868142128E-1,-1.118063927E0
1.412662245E0,7.457548380E-2,7.524280548E-1,-1.184420109E0
1.417692558E0,1.594805717E-2,7.122440338E-1,-1.248281479E0
1.422722870E0,-6.445246935E-2,6.521954536E-1,-1.243253708E0
1.427753183E0,-5.516314507E-2,6.342024803E-1,-1.234015942E0
1.432783443E0,-6.662583351E-2,6.390886307E-1,-1.242061138E0
1.437825579E0,-8.935087919E-2,6.808900833E-1,-1.226839066E0
1.442855891E0,-8.353620768E-2,7.153820992E-1,-1.277875423E0
1.447886204E0,-2.494275570E-2,7.633790970E-1,-1.288942337E0
1.452916516E0,-6.388658285E-2,8.081803322E-1,-1.195800781E0
1.457946829E0,-5.221349001E-2,8.594546318E-1,-1.070478439E0
1.462977089E0,-1.170700788E-2,9.003562927E-1,-9.750752449E-1
1.467998756E0,7.566750050E-3,9.261450768E-1,-8.211741447E-1
1.473029068E0,6.321114302E-2,9.960904121E-1,-6.445307732E-1
1.478059381E0,1.312924623E-1,1.045569420E0,-5.120511055E-1
1.483089693E0,1.478800774E-1,1.114982605E0,-4.234771729E-1
1.488120006E0,1.523495913E-1,1.127547264E0,-3.690071106E-1
1.493150266E0,1.813009381E-1,1.130836964E0,-2.242422104E-1
