"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.849855096E2,6.502272590E1,2.548997799E1,6.522797844E0,1.139999986E0,2.727999878E2,3.790092468E0,2.500000000E0
1.859874338E2,6.502272632E1,2.548995481E1,6.511504348E0,1.110000014E0,2.746000061E2,3.790092468E0,2.500000000E0
1.869851672E2,6.502272756E1,2.548993059E1,6.609097191E0,1.120000005E0,2.765000000E2,3.790092468E0,2.500000000E0
1.879852190E2,6.502272826E1,2.548990692E1,6.669886074E0,1.110000014E0,2.768999939E2,3.790092468E0,2.500000000E0
1.889746644E2,6.502272885E1,2.548988367E1,6.516868878E0,1.100000024E0,2.761000061E2,3.790092468E0,2.500000000E0
1.899833615E2,6.502272957E1,2.548985954E1,6.483358401E0,1.100000024E0,2.758999939E2,3.790092468E0,2.500000000E0
1.909780671E2,6.502272979E1,2.548983513E1,6.353412536E0,1.070000052E0,2.730000000E2,3.790092468E0,2.500000000E0
1.919730649E2,6.502273006E1,2.548981120E1,6.328080950E0,1.080000043E0,2.722999878E2,3.790092468E0,2.500000000E0
1.929801109E2,6.502273026E1,2.548978798E1,6.290176202E0,1.090000033E0,2.733999939E2,3.790092468E0,2.500000000E0
1.939860623E2,6.502273222E1,2.548976523E1,6.449353373E0,1.100000024E0,2.810000000E2,3.790092468E0,2.500000000E0
1.949885423E2,6.502273380E1,2.548973809E1,6.815805724E0,1.100000024E0,2.800000000E2,3.790092468E0,2.500000000E0
1.959856783E2,6.502273470E1,2.548970936E1,6.850165910E0,1.120000005E0,2.720000000E2,3.790092468E0,2.500000000E0
1.969827505E2,6.502273465E1,2.548968403E1,6.973210793E0,1.029999971E0,2.725000000E2,3.790092468E0,2.500000000E0
1.979879785E2,6.502273496E1,2.548965933E1,7.099978740E0,1.090000033E0,2.742999878E2,3.790092468E0,2.500000000E0
1.989897905E2,6.502273604E1,2.548963226E1,7.009400027E0,1.100000024E0,2.763999939E2,3.790092468E0,2.500000000E0
1.999832248E2,6.502273731E1,2.548960765E1,6.976499664E0,1.059999943E0,2.756000061E2,3.790092468E0,2.500000000E0
2.009865241E2,6.502273916E1,2.548958370E1,7.080867209E0,1.120000005E0,2.783999939E2,3.790092468E0,2.500000000E0
2.019861501E2,6.502274067E1,2.548955923E1,6.803154758E0,1.149999976E0,2.780000000E2,3.790092468E0,2.500000000E0
